,promth,label
0,tampilkan foto kita saat berdua,date
1,aku ingin lihat foto mesra kita,date
2,tampilkan kenangan saat sma,sma
3,tampilkan foto aktivitas kita di kampus,kuliah
4,aku ingin lihat foto yudo,yudo
5,perlihatkan foto yudo saja,yudo
6,aku ingin mengingat kenangan dulu saat sma,sma
7,perlihatkan foto kita saat keluar,date
8,tampilkan foto saat di kampus,kuliah
9,tampilkan foto saat kuliah,kuliah 
10,aku ingin lihat foto saat date ,date
11,tolong tampilkan foto saat sma,sma
12,aku ingin lihat foto ku,yudo
13,aku ingin lihat foto ovil,ovil 
14,aku ingin lihat foto ovil saja,ovil 
15,bisa tolong tampilkan foto ku ,yudo
16,foto saat kuliah,kuliah
17,foto acara kampus,kuliah
18,aku ingin lihat foto ovil apa saja,ovil 
19,aku ingin lihat jumplah foto ku,len_yudo
20,jumlah foto saat kuliah berapa,len_kuliah
21,berapasih jumlah foto ku,len_yudo
22,tampilkan foto ovil,ovil 
23,tampilkan foto ku dong,yudo
24,kenangan saat sma,sma
25,tampilkan jumlah foto saat sma,len_sma
26,kenangan saat sma apa saja,sma 
27,tampilkan foto ovil saja ya,ovil 
28,tampilkan foto saat jaman sma,sma
29,tampilkan foto kita saat berdua,date
30,aku ingin lihat foto mesra kita,date
31,tampilkan kenangan saat sma ,sma
32,tampilkan foto aktivitas kita di kampus,kuliah
33,aku ingin lihat foto yudo,yudo
34,perlihatkan foto yudo saja,yudo
35,aku ingin mengingat kenangan dulu saat sma,sma
36,perlihatkan foto kita saat keluar,date
37,tampilkan foto saat di kampus,kuliah
38,tampilkan foto saat kuliah,kuliah 
39,aku ingin lihat foto saat date ,date
40,tolong tampilkan foto saat sma,sma
41,aku ingin lihat foto ku,yudo
42,aku ingin lihat foto ovil,ovil 
43,aku ingin lihat foto ovil saja,ovil 
44,bisa tolong tampilkan foto ku ,yudo
45,foto saat kuliah,kuliah
46,foto acara kampus,kuliah
47,aku ingin lihat foto ovil apa saja,ovil 
48,aku ingin lihat jumplah foto ku,len_yudo
49,jumlah foto saat kuliah berapa,len_kuliah
50,berapasih jumlah foto ku,len_yudo
51,tampilkan foto ovil,ovil 
52,tampilkan foto ku dong,yudo
53,kenangan saat sma,sma
54,tampilkan jumlah foto saat sma,len_sma
55,kenangan saat sma apa saja,sma 
56,tampilkan foto ovil saja ya,ovil 
57,tampilkan foto saat jaman sma,sma
58,tampilkan foto kita saat berdua,date
59,aku ingin lihat foto mesra kita,date
60,tampilkan kenangan saat sma,sma
61,tampilkan foto aktivitas kita di kampus,kuliah
62,aku ingin lihat foto yudo,yudo
63,perlihatkan foto yudo saja,yudo
64,aku ingin mengingat kenangan dulu saat sma,sma
65,perlihatkan foto kita saat keluar,date
66,tampilkan foto saat di kampus,kuliah
67,tampilkan foto saat kuliah,kuliah 
68,aku ingin lihat foto saat date,date
69,tolong tampilkan foto saat sma,sma
70,aku ingin lihat foto ku,yudo
71,aku ingin lihat foto ovil,ovil 
72,aku ingin lihat foto ovil saja,ovil 
73,bisa tolong tampilkan foto ku ,yudo
74,foto saat kuliah,kuliah
75,foto acara kampus,kuliah
76,aku ingin lihat foto ovil apa saja,ovil 
77,aku ingin lihat jumplah foto ku,len_yudo
78,jumlah foto saat kuliah berapa,len_kuliah
79,berapasih jumlah foto ku,len_yudo
80,tampilkan foto ovil,ovil 
81,tampilkan foto ku dong,yudo
82,kenangan saat sma,sma
83,tampilkan jumlah foto saat sma,len_sma
84,kenangan saat sma apa saja,sma 
85,tampilkan foto ovil saja ya,ovil 
86,tampilkan foto saat jaman sma,sma
87,tampilkan foto kita saat berdua,date
88,aku ingin lihat foto mesra kita,date
89,tampilkan kenangan saat sma,sma
90,tampilkan foto aktivitas kita di kampus,kuliah
91,aku ingin lihat foto yudo,yudo
92,perlihatkan foto yudo saja,yudo
93,aku ingin mengingat kenangan dulu saat sma,sma
94,perlihatkan foto kita saat keluar,date
95,tampilkan foto saat di kampus,kuliah
96,tampilkan foto saat kuliah,kuliah 
97,aku ingin lihat foto saat date,date
98,tolong tampilkan foto saat sma,sma
99,aku ingin lihat foto ku,yudo
100,aku ingin lihat foto ovil,ovil 
101,aku ingin lihat foto ovil saja,ovil 
